address,permit_no,permit_date,description,lead_status
"1740 LILAC DR, WALCR CA 94595",B251640,12/23/2025,"(N) Detached, 799 s.f. ADU with 2 bedrooms and 2 bathrooms, and a covered porch.",New
"85 PLEASANT VALLEY DR, WALCR CA 94597",S25347-E,12/23/2025,"ONLINE - Install PV System on ADU",New
"1101 SEBASTIAN LN, WALCR CA 94598",R25003,12/23/2024,"ADDITIONAL SCOPE TO REMODEL: 1. CONVERT (E) INFORMAL LIVING ROOM TO BEDROOM WITH WALK IN CLOSET AND LAUNDRY ROOM. 2. CONVERT LARGE DOWNSTAIRS BATHROOM INTO FULL ENSUITE BATH OFF NEW BEDROOM AND DOWNSTAIRS GUEST HALF BATH. 3. MOVE (E) FIREPLACE IN LIVING ROOM TO ADDED BEDROOM. 4. BURY 2"" ELECTRICAL CONDUIT TO CODE FROM MAIN PANEL TO SIDEYARD FOR FUTURE ADU. 5. CHANGE DOOR IN KITCHEN FROM 5' TO 6' WIDE. 6. UPDATE WINDOW / DOOR SCHEDULE. 7. CHANGE HANGER IN STRUCTURAL PLANS CONNECTING FB2 WITH FB3 WITH NEW HANGER MEG5. REVISION TO B241285",New
"2849 MI ELANA CIR, WALCR CA 94598",B251626,12/22/2025,"Addition & remodel. Also converting (E) attached garage into ADU. Existing detached garage to remain.",New
"1299 RUDGEAR RD, A, WALCR CA 94596",B251632,12/22/2025,"(N) DETACHED ADU - 1 bed, 1 bath.",New
"125 ROCK OAK CT, WALCR CA 94598",R25420,12/19/2025,"The electrical line from the ADU to the house was added in the drawing. The breaker box was positioned correctly in the drawing. In the kitchenette, the stove top was swapped out for a self venting microwave/convection oven. Finally, 2 concrete pads that were to the right side and in the back of the ADU were added. - REVISIONS TO B220430",New
"40 GARRON CT, WALCR CA 94596",B251611,12/18/2025,"New detached adu of 1000 sq ft.",New
"1728 ALMOND AVE, B, WALCR CA 94596",B241745,12/18/2024,"Convert an existing shed into a detached ADU",New
"2023 1ST AVE, WALCR CA 94597",B241715,12/11/2024,"Conversion of existing second floor bonus room into an ADU. Upper floor will be converted into 968 S.F. ADU",New
"16 DOGWOOD CT, A, WALCR 94598",B241699,12/10/2024,"NEW 992 SQ FT DETACHED ADU REVISIONS: R25275",New
"237 SANTA FEE DR, A, WALCR 94598",B241691,12/09/2024,"Convert Garage to JADU",New
"1868 DANIELLE CT, A, WALCR 94598",B241662,12/03/2024,"CONVERT (E) GARAGE TO ADU. REMODEL KITCHEN.",New
"165 DEL MONTE DR, WALCR CA 94595",B251454,11/17/2025,"New Attached ADU of 600 sqft in the side yard",New
"407 MONTECILLO DR, WALCR CA 94595",B251432,11/10/2025,"New detached ADU",New
"2148 ALICE AV AVE, WALCR CA 94596",B251428,11/07/2025,"New detached ADU in the rear yard",New
"2473 ENCINAL DR, A, WALCR 94597",B241531,10/29/2024,"Install new Detached ADU 749 SQF 2 Bedroom and 2 Bathroom See Revisions: R25073",New
"2033 ESSENAY AVE, A, WALCR 94597",R24343,10/29/2024,"REVISION TO M241809: Install surface mount outside sub panel. ADU address 2033A Essenay, Main house address 2033 Essenay. Correction drawing for update on gas pipe location and location of sub panel.",New
"1125 WIGET LN, A, WALCR CA 94598",B251384,10/28/2025,"PRADU MODERN STYLE 672 SQ. FT - PLAN 3",New
