id,address,city,building_permit_count_24m,major_project_type
197649,308 MARKET AVE,RCHMD,1422,
226169,36 SADDLEBACK PL,DAN,1422,
173662,271 LAKE DR,KNSTN,710,
