id,permit_no,permit_date,permit_type,description,status,address,page_number,captured_at
17338,R24050,02/26/2024,"Building Revision","NEW SFR (changed description from Addition/Remodel) & DEMOLITION OF SFR to B230877","Revision Issued","2439 LAVENDER DR, WALCR CA 94596",1445,2026-07-18T09:47:31.697580
17326,B240255,02/27/2024,Building,"INTERIOR REMODEL. EXPAND REAR DECK.",Finaled,"1905 LAKESHIRE DR, WALCR CA 94595",1444,2026-07-18T09:47:26.787181
17325,B240256,02/27/2024,Building,"NEW 838 SQ FT ADU",Finaled,"3204 CUMBRIAN CT, A, WALCR 94598",1444,2026-07-18T09:47:26.787181
17322,B240258,02/27/2024,Building,"KITCHEN REMODEL - LIKE FOR LIKE CABINETS",Finaled,"51 HERITAGE CT, WALCR CA 94597",1444,2026-07-18T09:47:26.787181
17319,B240259,02/27/2024,Building,"INSTALLATION OF A 747 sq. ft. HUD/HCD APPROVED MANUFACTURED ADU.",Finaled,"100 ARLENE DR, WALCR CA 94595",1444,2026-07-18T09:47:26.787181
17309,R24052,02/28/2024,"Building Revision","REVISION TO B240097 ADD 18' OF ANGLE IRON FOUNDATION STABILIZATION WITH PIERS, FLOOR STABILIZATION WITH SMARTJACKS, CRACK REPAIR","Revision Issued","132 RUDGEAR DR, WALCR CA 94596",1443,2026-07-18T09:47:21.502369
17305,R24053,02/28/2024,"Building Revision","REVISION TO B220314 ADD 2ND TANKLESS FOR HOUSE (N) ATTACHED ADU","Ready to Issue","2893 GRANDE CAMINO, WALCR CA 94598",1443,2026-07-18T09:47:21.502369
17293,B240263,02/28/2024,Building,"INSTALLTION OF A 747 sq ft HUD/HCD APPROVED MANUFACTURED ADU.","Conditionally Approved","1042 BRIGHTWOOD CT, WALCR CA 94598",1442,2026-07-18T09:47:15.500206
17281,R24056,02/29/2024,"Building Revision","REVISION TO B240056: ADD 4 PUSH PIERS STABILIZE FOUNDATION USING 49 PUSH PIERS AND 14 SCREW LACKS.","Revision Issued","16 OAK KNOLL LOOP, WALCR CA 94596",1441,2026-07-18T09:47:09.378433
17278,B240266,02/29/2024,Building,"FIRE DAMAGE REPAIR, DEMOLITION OF GARAGE & KITCHEN & BATHROOM REMODEL",Finaled,"1976 AMESBURY CT, WALCR CA 94596",1440,2026-07-18T09:47:04.319527
