id,permit_no,permit_date,permit_type,description,status,address,page_number,captured_at
17338,R24050,02/26/2024,"Building Revision","NEW SFR (changed description from Addition/Remodel) & DEMOLITION OF SFR to B230877","Revision Issued","2439 LAVENDER DR, WALCR CA 94596",1445,2026-07-18T09:47:31.697580
17326,B240255,02/27/2024,Building,"INTERIOR REMODEL. EXPAND REAR DECK.",Finaled,"1905 LAKESHIRE DR, WALCR CA 94595",1444,2026-07-18T09:47:26.787181
17325,B240256,02/27/2024,Building,"NEW 838 SQ FT ADU",Finaled,"3204 CUMBRIAN CT, A, WALCR 94598",1444,2026-07-18T09:47:26.787181
17322,B240258,02/27/2024,Building,"KITCHEN REMODEL - LIKE FOR LIKE CABINETS",Finaled,"51 HERITAGE CT, WALCR CA 94597",1444,2026-07-18T09:47:26.787181
17319,B240259,02/27/2024,Building,"INSTALLATION OF A 747 sq. ft. HUD/HCD APPROVED MANUFACTURED ADU.",Finaled,"100 ARLENE DR, WALCR CA 94595",1444,2026-07-18T09:47:26.787181
17309,R24052,02/28/2024,"Building Revision","REVISION TO B240097 ADD 18' OF ANGLE IRON FOUNDATION STABILIZATION WITH PIERS, FLOOR STABILIZATION WITH SMARTJACKS, CRACK REPAIR","Revision Issued","132 RUDGEAR DR, WALCR CA 94596",1443,2026-07-18T09:47:21.502369
17305,R24053,02/28/2024,"Building Revision","REVISION TO B220314 ADD 2ND TANKLESS FOR HOUSE (N) ATTACHED ADU","Ready to Issue","2893 GRANDE CAMINO, WALCR CA 94598",1443,2026-07-18T09:47:21.502369
17293,B240263,02/28/2024,Building,"INSTALLTION OF A 747 sq ft HUD/HCD APPROVED MANUFACTURED ADU.","Conditionally Approved","1042 BRIGHTWOOD CT, WALCR CA 94598",1442,2026-07-18T09:47:15.500206
17281,R24056,02/29/2024,"Building Revision","REVISION TO B240056: ADD 4 PUSH PIERS STABILIZE FOUNDATION USING 49 PUSH PIERS AND 14 SCREW LACKS.","Revision Issued","16 OAK KNOLL LOOP, WALCR CA 94596",1441,2026-07-18T09:47:09.378433
17278,B240266,02/29/2024,Building,"FIRE DAMAGE REPAIR, DEMOLITION OF GARAGE & KITCHEN & BATHROOM REMODEL",Finaled,"1976 AMESBURY CT, WALCR CA 94596",1440,2026-07-18T09:47:04.319527
17271,P24015,02/29/2024,"Pool or Spa","POOL & SPA REMODEL - REMOVE & REPLACE SURFACE, TILE, PLUMBING & INSTALL AUTOFILL; NEW EQUIPMENT",Finaled,"401 PERSIMMON RD, WALCR CA 94598",1440,2026-07-18T09:47:04.319527
17270,B240269,02/29/2024,Building,"KITCHEN REMODEL - IN KIND; UPGRADE PLUMBING AND ELECTRICAL PER CODE; POSSIBLE NEW PENINSULA (AS SHOWN ON DRAWING)",Finaled,"11 BARRY CT, WALCR CA 94597",1440,2026-07-18T09:47:04.319527
17265,B240270,02/29/2024,Building,"BATHROOM REMODEL, REPLACE ALL WINDOWS, INSTALL LVP AND BASEBOARDS IN BEDROOMS, INSTALL TANKLESS WATER HEATER, REPLACE FURNACE, REPLACE FRONT DOOR, INSTALL NEW SWITCH DIMMERS, RECEPTACLES, REMOVE PARTITION BETWEEN ENCLOSED GARAGE, RAISE CEILING IN HALL, REPLACE OUTDOOR SIDING",Finaled,"641 TERRA CALIFORNIA DR, 6, WALCR CA 94595",1439,2026-07-18T09:46:57.703561
17248,B240276,03/01/2024,Building,"FOUNDATION UNDERPINNING",Finaled,"125 NEAR CT, WALCR CA 94596",1438,2026-07-18T09:46:51.995078
17235,B240280,03/01/2024,Building,"MASTER BATH REMODEL LIKE FOR LIKE",Finaled,"3430 ROSSMOOR PKWY, 2, WALCR CA 94595",1437,2026-07-18T09:46:46.867097
17234,M240373,03/01/2024,"Over the Counter Plumbing Electrical or Mechanical","ADDITION OF NEW EMERGENCY POWER RECEPTACLES AT PHARMACY DEPARTMENT",Finaled,"350 LENNON LN, WALCR CA 94598",1437,2026-07-18T09:46:46.867097
17227,P24017,03/01/2024,"Pool or Spa","POOL REMODEL (MINOR)",Finaled,"1785 POMAR WAY, WALCR CA 94598",1436,2026-07-18T09:46:40.788065
17218,B240286,03/04/2024,Building,"KITCHEN REMODEL LIKE FOR LIKE",Finaled,"1171 RUDGEAR RD, WALCR CA 94596",1435,2026-07-18T09:46:35.365907
17214,B240289,03/04/2024,Building,"BATTHROOMS REMODEL (RETRO)",Finaled,"3023 GREY EAGLE DR, WALCR CA 94595",1435,2026-07-18T09:46:35.365907
17212,M240378,03/04/2024,"Over the Counter Plumbing Electrical or Mechanical","FURNACE WITH AN AIR HANDLER REPLACEMENT, DUCTED HEAT PUMP ADDITION, DUCTLESS SINGLE-ZONE HEAT PUMP ADDITION, WATER HEATER WITH A HEAT PUMP WATER HEATER REPLACEMENT",Finaled,"3970 ARBOLADO DR, WALCR CA 94598",1435,2026-07-18T09:46:35.365907
17202,B240293,03/04/2024,Building,"KITCHEN REMODEL, BEDROOM/BATHROOM REMODEL",Finaled,"2466 MALLARD DR, WALCR CA 94597",1434,2026-07-18T09:46:30.284309
17194,B240295,03/04/2024,Building,"NEW ATTACHED ADU",Finaled,"1434 GOLETA CT, A, WALCR 94597",1433,2026-07-18T09:46:25.181121
17176,R24066,03/05/2024,"Building Revision","ADDITIONAL FRAMING TO REPAIR BROKEN TRUSSES - REVISION TO B231072","Revision Issued","1315 N MAIN ST, WALCR CA 94596",1432,2026-07-18T09:46:20.072549
17169,B240302,03/05/2024,Building,"NEW HUD/HCD MANUFACTURED ADU","With Customer for Response","51 CASTLE HILL CT, WALCR CA 94595",1431,2026-07-18T09:46:13.832020
17167,B240303,03/05/2024,Building,"KITCHEN REMODEL, (2) BATH REMODEL, SIDING AND WINDOWS",Finaled,"359 CARAVELLE DR, WALCR CA 94598",1431,2026-07-18T09:46:13.832020
17166,B240304,03/05/2024,Building,"NEW ADU AT REAR OF YARD",Finaled,"71 SHADY LN, A, WALCR CA 94597",1431,2026-07-18T09:46:13.832020
17158,B240306,03/05/2024,Building,"BATHROOM REMODEL; NEW WASHER/DRYER",Finaled,"1681 ALVARADO AVE, 23, WALCR CA 94597",1430,2026-07-18T09:46:08.139158
17156,B240307,03/05/2024,Building,"LEGALIZE ENITRE HOME REMODEL (WORK WITHOUT PERMITS) - REMODEL KITCHEN, REPLACE WINDOWS THROUGHOUT, REMOVE NON-LOADING BEARING & LOAD BEARING WALLS, REMOVE WINDOWS, RAISE CEILING IN KITCHEN, NEW HVAC, REMOVAL/REMODEL/EXTENSION OF THE UPPER REAR DECK, REMOVAL OF UPPER & LOWER FIRE PLACE & SURROUNDING WALL, UPGRADE/CHANGE TO ENTRY DOOR & GARAGE DOOR, REMOVAL BRICK FACAD & INSTALLATION OF EXTERIOR WOOD SIDING & MORE..",Finaled,"24 GROVER CT, WALCR CA 94596",1430,2026-07-18T09:46:08.139158
17122,B240320,03/07/2024,Building,"BATH REMODEL, KITCHEN REMODEL, REPLACE ENTIRE HOUSE PLUMBING WITH COPPER PIPES",Finaled,"1002 HACIENDA DR, WALCR CA 94598",1427,2026-07-18T09:45:52.448270
17110,M240405-E,03/07/2024,"Online Residential Misc. Electrical","Kitchen remodel",Withdrawn,"1764 HOLLAND CIR, WALCR CA 94597",1426,2026-07-18T09:45:46.581023
17089,P24019,03/08/2024,"Pool or Spa","POOL REMODEL; DRAIN POOL, TILE, COPING, MAIN DRAIN, LIGHT, REPLASTER",Finaled,"2084 WALNUT BLVD, WALCR CA 94597",1425,2026-07-18T09:45:41.317545
17058,B240329,03/11/2024,Building,"REMODEL SHOWER AREA AND ADD CLOSET IN BEDROOM (LOFT)",Finaled,"1244 SINGINGWOOD CT, 4, WALCR CA 94595",1422,2026-07-18T09:45:25.573143
17054,R24072,03/11/2024,"Building Revision","REVISION TO B231422 ADDITIONAL CONCRETE SLAB CONCRETE REMOVAL AND CONCRETE REPLACE","Revision Issued","3109 CAFETO DR, WALCR CA 94598",1422,2026-07-18T09:45:25.573143
17050,B240333,03/11/2024,Building,"REMODEL KITCHEN AND 3-BATHROOMS",Finaled,"27 EDGEMONT CIR, WALCR CA 94596",1421,2026-07-18T09:45:19.747173
17034,B240335,03/12/2024,Building,"REMOVAL OF 2 WALLS. KTICHEN REMODEL & ADD NEW PANTRY",Finaled,"154 GROVER LN, WALCR CA 94596",1420,2026-07-18T09:45:14.862828
17033,B240336,03/12/2024,Building,"LAUNDRY REMODEL, NEW CABINETS, PLUMBING AND ELECTRICAL FIXUTRES, REPLACE (E) WH",Finaled,"888 TERRA CALIFORNIA DR, 4, WALCR CA 94595",1420,2026-07-18T09:45:14.862828
