lead_id,description,permit_type,date_processed,permit_number,issued_date
239355,"Rooftop Mounted Solar Energy System PV+ST 21 REC460AA Pure-RX solar modules 1 1707000-XX-Y {240V, 11.5kW} inverter 1 1707000-XX-Y {11.5kW} ESS + 1 1807000-XX-Y DC battery expansion New Busbar count - 1 System Size: 9.66 kW DC (11.51 kW AC)","Solar System - Residential using Solar App+",2026-07-18T14:01:37.326196,SA26-0085-E,07/17/2026
56876,"Request from Central Sans to upgrade the small remainder of the existing exterior lateral (8-10ft) to be upsized from 4"" to 6"" to complete the line from their capital improvement job in 2023 making it all 6""","Mechanical, Electrical, or Plumbing Only",2026-07-18T14:01:37.327008,M261345,07/17/2026
193172,"HVAC replacement for heat pump","Residential Mechanical: HVAC, Furnace, Air Conditioner Replacement or Ductwork ONLY (no relocation)",2026-07-18T14:01:37.327017,M261350-E,07/17/2026
100931,"2 TON AC AND COIL C/O 40K BTUS 80% FURNACE C/O","Residential Mechanical: HVAC, Furnace, Air Conditioner Replacement or Ductwork ONLY (no relocation)",2026-07-18T14:01:37.327021,M261367-E,07/17/2026
112955,"Replace the subpanel and wirecloth to Romex","Residential Electrical: Electrical Panel or Sub-Panel Replacement or Upgrade Panel ONLY (not exceeding 200amps & no relocation)",2026-07-18T14:01:37.327027,M261352-E,07/17/2026
61859,"ONLINE - Tesla Powerwall 3 / Associated Solar Permit #S26095-E / We will need a shutdown for this work.","EV Charger/Battery Storage System - Residential",2026-07-18T14:01:37.327033,M261344-E,07/17/2026
328216,"Replaced 2 Ton Down flow Furnace Only","Residential Mechanical: HVAC, Furnace, Air Conditioner Replacement or Ductwork ONLY (no relocation)",2026-07-18T14:01:37.327039,M261349-E,07/17/2026
351388,"Full Removal of Vinyl Pool 2 Disconnect Utilities (water, and electrical) 3. Remove and haul away pool equipment (Pump, filter, and heather) 4. Electrical lines to be removed from pool panel. Label panel appropriately for spare breakers. 5. Make 2-4 holes 36x36 inches for drainage purposes 6. Demolish Vinyl 7. Haul Away debris if needed 8. Back fill in intervals of 6-8” and compact 9. Grade area to proper elevation slopping away from the house (for drainage purposes) 10. Broom and clean the street and dispose of all debris","Pool or Spa - New, Remodel or Demolition",2026-07-18T14:01:37.327043,P26039,07/17/2026
61859,"ONLINE - Photovoltaic System Installation on Roof","Solar System - Residential",2026-07-18T14:01:37.327050,S26095-E,07/17/2026
146673,"PV INSTALL 11.5 KW, 12 MODULES, 2 ESS","Solar System - Residential using Solar App+",2026-07-18T14:01:37.327054,SA26-0084-E,07/17/2026
61859,"Getting a new main breaker in the sub panel","Residential Electrical: Electrical Panel or Sub-Panel Replacement or Upgrade Panel ONLY (not exceeding 200amps & no relocation)",2026-07-18T14:01:37.327059,M261346-E,07/17/2026
210661,"ONLINE - Removal and Reinstall of 27 existing solar panels. (No additional/new equipment will be installed) Please note that the removal and reinstallation is for reroofing purposes only. All equipment shall be reinstalled in the same manner as it was prior to removal.","Solar System - Residential",2026-07-18T14:01:37.327062,S26096-E,07/17/2026
